Category Id;Category Name
11860;Sports & Outdoors / Outdoor Recreation / Climbing / Climbing Holds
11859;Sports & Outdoors / Outdoor Recreation / Climbing / Crash Pads
11854;Sports & Outdoors / Outdoor Recreation / Climbing / Harnesses
11853;Sports & Outdoors / Outdoor Recreation / Climbing / Ropes, Cords & Slings
7059;Sports & Outdoors / Outdoor Recreation / Cycling / Bike Accessories / Child Seats
11834;Sports & Outdoors / Outdoor Recreation / Cycling / Bike Accessories / Covers & Cases
11835;Sports & Outdoors / Outdoor Recreation / Cycling / Bike Accessories / Cycling Bags
13203;Sports & Outdoors / Outdoor Recreation / Cycling / Bike Accessories / Cycling Performance Tracker
7065;Sports & Outdoors / Outdoor Recreation / Cycling / Bike Accessories / Lights & Reflectors
7067;Sports & Outdoors / Outdoor Recreation / Cycling / Bike Accessories / Locks
7069;Sports & Outdoors / Outdoor Recreation / Cycling / Bike Accessories / Mount Holders
7055;Sports & Outdoors / Outdoor Recreation / Cycling / Bike Accessories / Racks & Storage
10100282;Sports & Outdoors / Outdoor Recreation / Cycling / Bike Accessories / Water Bottles
7027;Sports & Outdoors / Outdoor Recreation / Cycling / Bikes / BMX
